,DELNG_DE,MRKT_NM,CPR_NM,PRDLST_NM,SPCIES_NM,GRAD,weight,PRI_MAX,PRI_MIN,PRI_AVE,PRI_PRED
0,2021-01-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,5400.0,3300.0,4854.545454545455,3700.5642
1,2021-01-16,서울가락도매,중앙청과,풋고추,청양,특,1KG,6350.0,3750.0,5623.563103448277,3984.5024
2,2021-01-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,8500.0,5950.0,7810.752580645162,4395.91
3,2021-01-20,서울가락도매,중앙청과,풋고추,청양,특,1KG,8000.0,5000.0,6667.663684210526,5118.4204
4,2021-01-21,서울가락도매,중앙청과,풋고추,청양,특,1KG,7500.0,2250.0,6503.6459375,5544.347
5,2021-01-22,서울가락도매,중앙청과,풋고추,청양,특,1KG,8600.0,5150.0,7779.032258064516,5674.5166
6,2021-01-23,서울가락도매,중앙청과,풋고추,청양,특,1KG,9550.0,3900.0,7847.348611111111,5987.071
7,2021-01-25,서울가락도매,중앙청과,풋고추,청양,특,1KG,9500.0,3000.0,8544.285600000001,6276.389
8,2021-01-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,8350.0,3700.0,7020.833333333333,6285.431
9,2021-01-28,서울가락도매,중앙청과,풋고추,청양,특,1KG,9300.0,6100.0,8241.954137931034,6231.347
10,2021-01-29,서울가락도매,중앙청과,풋고추,청양,특,1KG,9300.0,6950.0,8628.57142857143,6554.305
11,2021-01-30,서울가락도매,중앙청과,풋고추,청양,특,1KG,12500.0,5100.0,10611.688518518517,6731.2544
12,2021-02-01,서울가락도매,중앙청과,풋고추,청양,특,1KG,14100.0,5600.0,11824.73129032258,7218.38
13,2021-02-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,10900.0,4650.0,9525.0,7684.6294
14,2021-02-04,서울가락도매,중앙청과,풋고추,청양,특,1KG,13400.0,8650.0,11734.782608695652,7725.747
15,2021-02-05,서울가락도매,중앙청과,풋고추,청양,특,1KG,13700.0,4700.0,12355.672352941176,8088.79
16,2021-02-06,서울가락도매,중앙청과,풋고추,청양,특,1KG,11850.0,7150.0,10190.754,8449.824
17,2021-02-09,서울가락도매,중앙청과,풋고추,청양,특,1KG,10600.0,5000.0,8627.941176470587,7693.7793
18,2021-02-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,9300.0,7250.0,8464.864864864865,7575.391
19,2021-02-11,서울가락도매,중앙청과,풋고추,청양,특,1KG,9500.0,3000.0,7769.444444444444,7535.294
20,2021-02-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,9400.0,7350.0,8758.823529411764,7507.737
21,2021-02-17,서울가락도매,중앙청과,풋고추,청양,특,1KG,9100.0,7500.0,8150.0,7706.414
22,2021-02-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,8250.0,6500.0,7386.868611111112,7476.3975
23,2021-02-19,서울가락도매,중앙청과,풋고추,청양,특,1KG,8350.0,3900.0,7476.276052631579,7255.671
24,2021-02-20,서울가락도매,중앙청과,풋고추,청양,특,1KG,7300.0,6100.0,6724.8223684210525,7171.56
25,2021-02-26,서울가락도매,중앙청과,풋고추,청양,특,1KG,9550.0,7500.0,9124.0,7408.993
26,2021-02-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,10050.0,8900.0,9309.592,7642.022
27,2021-03-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,8100.0,7000.0,7589.285714285715,7535.326
28,2021-03-04,서울가락도매,중앙청과,풋고추,청양,특,1KG,7500.0,3800.0,7043.716764705882,7370.863
29,2021-03-05,서울가락도매,중앙청과,풋고추,청양,특,1KG,7550.0,6900.0,7238.75,7125.905
30,2021-03-06,서울가락도매,중앙청과,풋고추,청양,특,1KG,7750.0,6750.0,7208.654523809523,6975.511
31,2021-03-08,서울가락도매,중앙청과,풋고추,청양,특,1KG,7250.0,6300.0,6812.790697674419,6837.978
32,2021-03-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,6500.0,5750.0,6075.0,6599.199
33,2021-03-11,서울가락도매,중앙청과,풋고추,청양,특,1KG,6000.0,5300.0,5593.722857142857,6392.7773
34,2021-03-12,서울가락도매,중앙청과,풋고추,청양,특,1KG,6100.0,5428.57,5796.428529411765,6147.5884
35,2021-03-13,서울가락도매,중앙청과,풋고추,청양,특,1KG,6750.0,5450.0,6079.166666666667,5984.511
36,2021-03-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,6350.0,5500.0,5993.333333333333,5906.3657
37,2021-03-17,서울가락도매,중앙청과,풋고추,청양,특,1KG,6200.0,5400.0,5851.612903225807,5699.6562
38,2021-03-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,6350.0,5550.0,5869.117647058823,5674.2437
